,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
301,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-10,2381.34,2371.91,2296.1,2437.03,2408.27,8265500.0,196060992.0,26.93,0.011309
302,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-11,2408.27,2414.76,2340.05,2429.64,2367.29,6482500.0,155888000.0,-40.98,-0.017016
303,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-12,2367.29,2369.58,2320.89,2401.61,2389.57,7878800.0,188910000.0,22.28,0.009412
304,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-15,2389.57,2390.81,2275.76,2399.79,2282.62,6224800.0,145596000.0,-106.95,-0.044757
305,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-16,2282.62,2265.04,2095.55,2269.16,2121.07,10427700.0,203040000.0,-161.55,-0.070774
306,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-17,2121.07,2136.29,2060.8,2367.99,2342.54,11324400.0,226095008.0,221.47,0.104414
307,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-18,2342.54,2367.01,2231.9,2441.56,2283.37,16348600.0,350796992.0,-59.17,-0.025259
308,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-19,2283.37,2277.65,2191.48,2318.95,2283.45,9493900.0,203075008.0,0.08,3.5e-05
309,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-22,2283.45,2278.25,2142.53,2278.25,2177.59,7444200.0,161584000.0,-105.86,-0.04636
310,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1992-06-23,2177.59,2169.45,2126.65,2236.34,2219.03,6756800.0,143475008.0,41.44,0.01903
