code,code_name,peTTM
sz.000887,中鼎股份,22.4
sz.300979,华利集团,22.43
sh.603379,三美股份,22.56
sh.601878,浙商证券,22.61
sh.600297,广汇汽车,22.69
sh.600905,三峡能源,22.81
sz.000553,安道麦A,22.82
sz.000686,东北证券,22.84
sh.600500,中化国际,22.93
sh.600143,金发科技,23.0
sh.600887,伊利股份,23.15
sh.601016,节能风电,23.16
sz.002916,深南电路,23.32
sh.600875,东方电气,23.36
sh.600271,航天信息,23.43
sz.002508,老板电器,23.45
sh.600170,上海建工,23.47
sz.002056,横店东磁,23.47
sz.002422,科伦药业,23.56
sz.002242,九阳股份,23.59
sz.300630,普利制药,23.71
sh.600917,重庆燃气,24.14
sz.000997,新大陆,24.23
sh.600155,华创阳安,24.36
sz.002475,立讯精密,24.5
sz.002507,涪陵榨菜,24.67
sz.002423,中粮资本,24.8
sh.600037,歌华有线,24.82
sz.300628,亿联网络,24.89
sh.603019,中科曙光,24.93
sh.603486,科沃斯,25.1
sz.000718,苏宁环球,25.13
sh.600487,亨通光电,25.16
sz.002185,华天科技,25.22
sz.002223,鱼跃医疗,25.23
sh.601869,长飞光纤,25.24
sh.603392,万泰生物,25.41
sh.601198,东兴证券,25.47
sh.688005,容百科技,25.51
sz.002557,洽洽食品,25.57
sz.000988,华工科技,25.62
sz.300146,汤臣倍健,25.64
sh.688981,中芯国际,25.72
sh.600522,中天科技,25.86
sz.300136,信维通信,25.88
sz.002624,完美世界,25.89
sh.601633,长城汽车,25.91
sz.300182,捷成股份,26.0
sh.600886,国投电力,26.02
sh.603986,兆易创新,26.03
sh.600120,浙江东方,26.09
sz.000783,长江证券,26.13
sh.601012,隆基绿能,26.14
sh.603659,璞泰来,26.3
sz.000027,深圳能源,26.45
sz.002027,分众传媒,26.46
sh.600196,复星医药,26.47
sh.600764,中国海防,26.49
sh.600131,国网信通,26.51
sh.600517,国网英大,26.62
sz.001289,龙源电力,26.69
sh.688396,华润微,26.96
sh.603707,健友股份,27.05
sz.300003,乐普医疗,27.09
sh.600927,永安期货,27.15
sh.601880,辽港股份,27.2
sz.002430,杭氧股份,27.23
sz.002120,韵达股份,27.27
sz.000400,许继电气,27.3
sz.000975,银泰黄金,27.45
sh.600745,闻泰科技,27.5
sz.300676,华大基因,27.66
sh.603267,鸿远电子,27.69
sh.600195,中牧股份,27.74
sh.600126,杭钢股份,27.75
sz.002304,洋河股份,27.77
sh.600329,达仁堂,27.84
sh.600958,东方证券,27.91
sz.002028,思源电气,27.91
sz.002152,广电运通,28.0
sz.300383,光环新网,28.1
sh.600597,光明乳业,28.2
sh.603225,新凤鸣,28.24
sz.300296,利亚德,28.25
sh.600406,国电南瑞,28.3
sz.001914,招商积余,28.37
sh.600737,中粮糖业,28.44
sz.002252,上海莱士,28.46
sz.002271,东方雨虹,28.64
sz.000858,五粮液,28.78
sh.603369,今世缘,28.92
sz.002465,海格通信,29.01
sh.600918,中泰证券,29.08
sh.600497,驰宏锌锗,29.19
sz.000629,攀钢钒钛,29.24
sz.002600,领益智造,29.33
sz.300450,先导智能,29.44
sh.601901,方正证券,29.44
sz.000938,紫光股份,29.58
sh.603259,药明康德,29.59
sz.002372,伟星新材,29.68
sh.600879,航天电子,29.85
sz.300618,寒锐钴业,29.85
sh.603927,中科软,29.87
sh.600529,山东药玻,29.94
sz.300376,易事特,29.95
sh.600895,张江高科,29.97
sh.600885,宏发股份,30.01
sh.603195,公牛集团,30.08
sz.002273,水晶光电,30.18
sz.002946,新乳业,30.27
sh.688099,晶晨股份,30.29
sh.603833,欧派家居,30.35
sh.600460,士兰微,30.47
sh.601969,海南矿业,30.49
sz.002812,恩捷股份,30.78
sz.002673,西部证券,30.78
sz.002390,信邦制药,31.02
sh.600535,天士力,31.06
sh.601628,中国人寿,31.11
sh.603866,桃李面包,31.14
sz.300059,东方财富,31.21
sh.601958,金钼股份,31.6
sh.600848,上海临港,31.67
sh.600339,中油工程,31.83
sh.600298,安琪酵母,31.96
sz.002603,以岭药业,32.21
sz.300033,同花顺,32.24
