id,open,high,low,close,volume,interests,roi,day,rate,warrant
'122882', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.2252', 6.12, 298, 'AA', 'AA'
'124093', 104.5, 104.5, 104.5, 104.5, 30.0, u'6.3932', 6.12, 325, 'AA+', 'AA'
'124263', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.4252', 6.12, 190, 'AA+', 'AA'
'122930', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.4553', 6.1, 306, 'AA+', 'AA'
'124800', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.2609', 6.09, 173, 'AA+', 'AA+'
'122566', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.7787', 6.08, 38, 'AA+', 'AA'
'124323', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.6052', 6.08, 93, 'AA+', 'AA'
'122929', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.9134', 6.07, 304, 'AA', 'AA'
'122572', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.7595', 6.06, 44, 'AA+', 'AA+'
'122833', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.0700', 6.04, 179, 'AA', 'AA'
'122907', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.6026', 6.02, 88, 'AA', 'AA'
'124201', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.8205', 6.0, 263, 'AA', 'AA'
'111063', 105.579, 105.579, 105.579, 105.579, 20100.0, u'4.5988', 6.0, 229, 'AA', 'AA'
'122607', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.5441', 5.99, 176, 'AAA', 'AAA'
'122631', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.1667', 5.98, 147, 'AA+', 'AA'
'122916', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.2156', 5.97, 223, 'AA+', 'AA'
'122634', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.4230', 5.96, 132, 'AA', 'AA'
'122872', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.8986', 5.95, 298, 'AA+', 'AA+'
'122718', 110.99, 111.02, 110.9, 111.02, 3141.0, u'4.8099', 5.92, 209, 'AA+', 'AA'
'122543', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.0389', 5.91, 2, 'AA+', 'AA'
'124089', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.4334', 5.91, 296, 'AA+', 'AA'
'122710', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.9394', 5.9, 206, 'AA+', 'AA+'
'122842', 103.49, 103.49, 103.49, 103.49, 1.0, u'5.4267', 5.88, 285, 'AA', 'AA'
'122951', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.1488', 5.88, 114, 'AA+', 'AA'
'122778', 108.0, 108.0, 108.0, 108.0, 1.0, u'7.1000', 5.87, 355, 'AAA', 'AA'
'122831', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.4735', 5.87, 218, 'AA+', 'AA'
'122921', 104.5, 104.5, 104.5, 104.5, 5000.0, u'5.2521', 5.86, 270, 'AA+', 'AA'
'122892', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.7958', 5.85, 47, 'AA', 'AA'
'124319', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.2521', 5.83, 137, 'AA', 'AA'
'111062', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.5961', 5.82, 42, 'AA+', 'AA+'
'122609', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.4499', 5.8, 84, 'AA', 'AA+'
'122686', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.0992', 5.8, 202, 'AA+', 'AA+'
'122932', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.2712', 5.8, 327, 'AA+', 'AA'
'122802', 103.5, 103.5, 103.5, 103.5, 4174.0, u'2.3939', 5.79, 127, 'AA+', 'AA'
'124080', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.8055', 5.79, 345, 'AA+', 'AA'
'122922', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.4309', 5.78, 266, 'AA+', 'AA'
'112065', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.1058', 5.77, 218, 'AA+', 'AA+'
'111042', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.1468', 5.74, 52, 'AA+', 'AA'
'122840', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.7144', 5.7, 238, 'AA+', 'AA'
'122705', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.8460', 5.66, 212, 'AAA', 'AAA'
'122925', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.5000', 5.65, 325, 'AA+', 'AA'
'122935', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.2413', 5.63, 339, 'AA+', 'AA+'
'122883', 100.8, 101.27, 100.41, 101.2, 11788.0, u'6.0800', 5.62, 365, 'AA', 'AA'
'122923', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.7182', 5.6, 262, 'AA+', 'AA+'
'122825', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.2831', 5.59, 209, 'AA+', 'AA'
'122786', 102.91, 102.91, 102.91, 102.91, 9.0, u'5.5934', 5.58, 352, 'AAA', 'AAA'
'122915', 100.2, 100.25, 100.2, 100.25, 100.0, u'2.6490', 5.56, 165, 'AA+', 'AA'
'122984', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.1041', 5.56, 230, 'AA+', 'AA'
'124899', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.1178', 5.56, 68, 'AAA', 'AAA'
'122832', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.5307', 5.54, 230, 'AA+', 'AA+'
'124196', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.5776', 5.54, 218, 'AA+', 'AA+'
'122961', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.2880', 5.46, 146, 'AA+', 'AA+'
'120605', 89.5, 89.5, 89.5, 89.5, 19.0, u'1.8192', 5.41, 160, 'AAA', 'AAA'
'120303', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.0386', 5.37, 78, 'AAA', 'AAA'
'122860', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.1083', 5.36, 251, 'AAA', 'AAA'
'120204', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.8304', 5.35, 310, 'AAA', 'AAA'
'122900', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.4935', 5.35, 82, 'AA+', 'AA'
'122926', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.8164', 5.35, 293, 'AAA', 'AAA'
'111023', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.6850', 5.34, 54, 'AAA', 'AAA'
'111026', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.6118', 5.29, 111, 'AAA', 'AAA'
'111018', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.6111', 5.21, 121, 'AAA', 'AAA'
'124410', 0.0, 0.0, 0.0, 0.0, 0.0, u'5.4247', 5.15, 360, 'AAA', 'AAA'
'120201', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.3652', 5.13, 28, 'AAA', 'AAA'
'124335', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.0849', 5.09, 72, 'AAA', 'AA'
'111048', 101.1, 101.1, 101.1, 101.1, 650.0, u'4.0710', 5.08, 251, 'AA+', 'AA+'
'120306', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.3186', 5.02, 314, 'AAA', 'AAA'
'122763', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.7920', 5.01, 292, 'AA+', 'AA'
'122579', 0.0, 0.0, 0.0, 0.0, 0.0, u'1.7310', 4.99, 117, 'AA', 'AA'
'120490', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.4756', 4.96, 31, 'AAA', 'AAA'
'122962', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.7992', 4.96, 164, 'AA+', 'AA+'
'122909', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.1016', 4.85, 151, 'AA+', 'AA+'
'122980', 0.0, 0.0, 0.0, 0.0, 0.0, u'2.7108', 4.75, 207, 'AAA', 'AAA'
'122995', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.8674', 4.75, 51, 'AAA', 'AA+'
'122996', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.4142', 4.67, 24, 'AA+', 'AA+'
'111041', 103.6, 103.6, 103.6, 103.6, 10.0, u'1.3268', 4.66, 58, 'AA+', 'AA'
'122968', 100.4, 100.45, 100.4, 100.45, 5000.0, u'2.7410', 4.27, 187, 'AAA', 'AAA'
