'112064', 6.51, 132, 0.0, 'AA', 'AA'
'122844', 6.5, 193, 0.0, 'AA', 'AA'
'124264', 6.49, 89, 0.0, 'AA+', 'AA+'
'122837', 6.48, 150, 0.0, 'AA+', 'AA+'
'122951', 6.47, 28, 0.0, 'AA+', 'AA'
'122833', 6.44, 93, 5810.0, 'AA', 'AA'
'122842', 6.43, 199, 0.0, 'AA', 'AA'
'124031', 6.43, 247, 0.0, 'AA+', 'AA+'
'124565', 6.42, 141, 0.0, 'AA+', 'AA+'
'122611', 6.41, 7, 0.0, 'AA', 'AA'
'124310', 6.4, 33, 100.0, 'AA', 'AA'
'122840', 6.37, 152, 0.0, 'AA+', 'AA'
'122921', 6.36, 184, 1396.0, 'AA+', 'AA'
'122819', 6.35, 90, 89.0, 'AA+', 'AA+'
'124345', 6.31, 318, 0.0, 'AA+', 'AA+'
'124006', 6.29, 257, 0.0, 'AA+', 'AA+'
'122636', 6.26, 35, 282.0, 'AA', 'AA'
'122846', 6.23, 152, 0.0, 'AAA', 'AAA'
'122627', 6.18, 19, 0.0, 'AA', 'AA'
'122805', 6.17, 53, 0.0, 'AA', 'AA'
'111041', 6.14, 337, 270.0, 'AA+', 'AA'
'122961', 6.13, 60, 0.0, 'AA+', 'AAA'
'124075', 6.13, 219, 0.0, 'AA+', 'AA'
'122641', 6.12, 46, 77.0, 'AA+', 'AA'
'122884', 6.1, 286, 0.0, 'AA+', 'AA'
'122984', 6.07, 144, 0.0, 'AA+', 'AA'
'122944', 6.05, 330, 0.0, 'AA+', 'AA'
'122999', 6.03, 133, 0.0, 'AAA', 'A-'
'112065', 6.02, 132, 20.0, 'AA+', 'AA+'
'122942', 6.01, 312, 91.0, 'AA+', 'AA+'
'122892', 5.92, 326, 0.0, 'AA', 'AA'
'122957', 5.88, 50, 0.0, 'AA', 'AA'
'120301', 5.86, 155, 652.0, 'AAA', 'AAA'
'122958', 5.86, 63, 35.0, 'AA+', 'AA'
'111023', 5.8, 333, 0.0, 'AAA', 'AAA'
'120605', 5.79, 74, 4.0, 'AAA', 'AAA'
'122975', 5.71, 120, 0.0, 'AA+', 'AA+'
'120201', 5.69, 307, 0.0, 'AAA', 'AAA'
'122972', 5.59, 107, 0.0, 'AA+', 'AA+'
'120486', 5.57, 305, 0.0, 'AAA', 'AAA'
'019308', 4.54, 97, 84.0, '', ''
'019303', 4.53, 181, 200.0, '', ''
'101308', 4.5, 97, 0.0, '', ''
'101917', 4.5, 174, 31.0, '', ''
'122962', 5.48, 78, 34999.0, 'AA+', 'AA+'
'122988', 5.43, 190, 0.0, 'AA', 'AA'
'010303', 4.42, 98, 6263.0, '', ''
'019218', 4.41, 119, 1.0, '', ''
'100303', 4.41, 98, 2230.0, '', ''
'010504', 4.39, 70, 66.0, '', ''
'019320', 4.39, 280, 171.0, '', ''
'019315', 4.37, 13, 1226.0, '', ''
'122579', 5.36, 31, 0.0, 'AA', 'AA'
'010512', 4.34, 70, 0.0, '1', ''
'019403', 4.34, 189, 112.0, '', ''
'111019', 5.33, 255, 721.0, 'AAA', 'AAA'
'010107', 4.31, 174, 19522.0, '', ''
'019406', 4.31, 111, 157.0, '', ''
'100213', 4.3, 126, 273.0, '', ''
'010603', 4.28, 119, 0.0, '', ''
'010213', 4.09, 126, 26.0, '', ''
'120516', 4.96, 12, 0.0, 'AAA', 'AAA'
'019404', 3.91, 133, 0.0, '', ''
'120519', 4.75, 19, 0.0, 'AAA', 'AAA'
'122968', 4.69, 101, 0.0, 'AAA', 'AAA'
'110020', 4.79, 281, 84139.0, '', ''
'010501', 3.08, 146, 0.0, '', ''
'019322', 3.07, 266, 23005.0, '', ''
'110017', 3.95, 357, 12820.0, '', ''
'110023', 3.24, 131, 445285.0, '', ''
'113006', 2.09, 223, 3169.0, '', ''
'125089', 3.07, 9, 50676.0, '', ''
'110011', 1.67, 241, 1139.0, '', ''
'110019', 1.41, 123, 2287.0, '', ''
'113001', 1.36, 52, 142496.0, '', ''
'127002', 2.15, 272, 62231.0, '', ''
'110012', 0.33, 198, 2975.0, '', ''
'113005', 0.33, 244, 285076.0, '', ''
'110024', 0.22, 314, 14571.0, '', ''
