'122984', 5.91, 157, 103.12, 5454.0, 'AA+', 'AA'
'124281', 5.91, 83, 98.7, 15000.0, 'AA+', 'AA+'
'120506', 5.9, 99, 97.01, 5.0, 'AAA', 'AAA'
'122958', 5.87, 76, 101.2, 3971.0, 'AA+', 'AA'
'122888', 5.84, 312, 99.52, 3352.0, 'AA+', 'AA'
'122915', 5.84, 92, 100.0, 200.0, 'AA+', 'AA'
'122832', 5.83, 157, 104.2, 15406.0, 'AA+', 'AA+'
'122926', 5.8, 220, 100.2, 9960.0, 'AAA', 'AA+'
'120602', 5.76, 131, 86.8, 6.0, 'AAA', 'AAA'
'122899', 5.75, 9, 99.58, 20000.0, 'AA+', 'AA'
'122942', 5.75, 325, 102.19, 2139.0, 'AA+', 'AA+'
'124075', 5.74, 232, 103.49, 10137.0, 'AA+', 'AA'
'120605', 5.72, 87, 86.78, 45.0, 'AAA', 'AAA'
'120201', 5.71, 320, 93.9, 6.0, 'AAA', 'AAA'
'122906', 5.7, 15, 99.73, 20000.0, 'AA', 'AA'
'122675', 5.64, 103, 100.8, 2089.0, 'AAA', 'AAA'
'111041', 5.63, 350, 102.66, 430.0, 'AA+', 'AA'
'122995', 5.55, 343, 103.86, 1800.0, 'AAA', 'AA+'
'111023', 5.54, 346, 94.8, 1.0, 'AAA', 'AAA'
'122996', 5.52, 316, 100.8, 1970.0, 'AA+', 'AA+'
'120303', 5.4, 5, 93.65, 157.0, 'AAA', 'AAA'
'122988', 5.4, 203, 103.56, 3311.0, 'AA', 'AA'
'120306', 5.38, 241, 98.59, 65.0, 'AAA', 'AAA'
'122972', 5.37, 120, 102.25, 60000.0, 'AA+', 'AA+'
'111048', 5.35, 178, 100.75, 10.0, 'AA+', 'AA+'
'120490', 5.32, 323, 101.2, 11678.0, 'AAA', 'AAA'
'111018', 5.31, 48, 98.8, 400.0, 'AAA', 'AAA'
'111045', 5.3, 233, 102.6, 35100.0, 'AA+', 'AA'
'122962', 5.28, 91, 101.5, 36102.0, 'AA+', 'AA+'
'120510', 5.19, 29, 100.02, 360.0, 'AAA', 'AAA'
'122966', 5.06, 101, 101.2, 7001.0, 'AA', 'AA'
'120501', 4.91, 185, 100.3, 4.0, 'AAA', 'AAA'
'111019', 4.89, 268, 98.8, 10.0, 'AAA', 'AAA'
'122968', 4.65, 114, 100.4, 5012.0, 'AAA', 'AAA'
'122943', 4.4, 336, 100.02, 36.0, 'AAA', 'AA+'
