'122607', 6.4, 98, 103.7, 38711.0, 'AAA', 'AAA'
'122951', 6.4, 36, 100.8, 5321.0, 'AA+', 'AA'
'124188', 6.4, 142, 99.1, 1098.0, 'AA', 'AA'
'122840', 6.36, 160, 103.3, 200.0, 'AA+', 'AA'
'124148', 6.36, 185, 100.1, 10.0, 'AA+', 'AA'
'124261', 6.36, 98, 100.1, 900.0, 'AA+', 'AA+'
'122564', 6.35, 322, 105.46, 1043.0, 'AA', 'AA'
'122819', 6.35, 98, 101.0, 2.0, 'AA+', 'AA+'
'122831', 6.35, 140, 103.5, 90.0, 'AA+', 'AA'
'124159', 6.35, 189, 100.6, 500.0, 'AA+', 'AA'
'122877', 6.34, 220, 99.8, 2000.0, 'AA+', 'AA+'
'124357', 6.33, 360, 99.2, 2189.0, 'AAA', 'AA+'
'122514', 6.32, 283, 99.5, 47182.0, 'AAA', 'AA+'
'122825', 6.32, 131, 103.61, 6000.0, 'AA+', 'AA'
'124359', 6.32, 149, 100.3, 2002.0, 'AA+', 'AA'
'122612', 6.3, 15, 101.0, 1.0, 'AA', 'AA'
'122872', 6.29, 220, 100.75, 4350.0, 'AA+', 'AA+'
'122904', 6.29, 69, 100.21, 10000.0, 'AAA', 'AA+'
'124318', 6.28, 20, 99.35, 8000.0, 'AA', 'AA'
'122802', 6.27, 49, 102.0, 58.0, 'AA+', 'AA'
'122763', 6.23, 214, 106.69, 1091.0, 'AA+', 'AA'
'124361', 6.22, 313, 100.2, 2250.0, 'AAA', 'AA'
'122567', 6.21, 330, 103.98, 5.0, 'AA', 'AA'
'122932', 6.21, 249, 103.38, 43927.0, 'AA+', 'AA'
'122892', 6.16, 334, 100.09, 4.0, 'AA', 'AA'
'122639', 6.11, 51, 100.3, 961.0, 'AA', 'AA'
'122884', 6.1, 294, 100.34, 600.0, 'AA+', 'AA'
'122961', 6.05, 68, 98.6, 17201.0, 'AA+', 'AA+'
'122902', 6.02, 75, 100.35, 2186.0, 'AA+', 'AA'
'122984', 5.97, 152, 103.05, 3400.0, 'AA+', 'AA'
'122942', 5.95, 320, 101.8, 90.0, 'AA+', 'AA+'
'124204', 5.92, 156, 98.5, 50.0, 'AAA', 'AAA'
'122923', 5.88, 184, 100.15, 15449.0, 'AA+', 'AA+'
'122915', 5.86, 87, 99.95, 6603.0, 'AA+', 'AA'
'122888', 5.84, 307, 99.5, 403.0, 'AA+', 'AA'
'120601', 5.76, 166, 87.06, 39.0, 'AAA', 'AAA'
'120605', 5.72, 82, 86.8, 2525.0, 'AAA', 'AAA'
'122958', 5.68, 71, 101.38, 10.0, 'AA+', 'AA'
'120301', 5.61, 163, 96.5, 95.0, 'AAA', 'AAA'
'120602', 5.61, 126, 88.0, 106.0, 'AAA', 'AAA'
'111041', 5.6, 345, 102.71, 37900.0, 'AA+', 'AA'
'122996', 5.53, 311, 100.8, 122.0, 'AA+', 'AA+'
'120201', 5.5, 315, 95.2, 388.0, 'AAA', 'AAA'
'124075', 5.48, 227, 104.5, 2.0, 'AA+', 'AA'
'120306', 5.42, 236, 98.45, 55.0, 'AAA', 'AAA'
'122988', 5.42, 198, 103.56, 4099.0, 'AA', 'AA'
'120303', 5.41, 365, 93.58, 26.0, 'AAA', 'AAA'
'120490', 5.41, 318, 100.8, 58014.0, 'AAA', 'AAA'
'111048', 5.41, 173, 100.68, 10.0, 'AA+', 'AA+'
