secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
603127.XSHG,603127,昭衍新药,XSHG,2018-08-17,48.71,48.71,48.04,49.51,43.95,44.53,2138194,98134353,4608,0.0745,0.5066410899,1278011000,5120709538,-0.0858,55.5785,145.9572,9.4466,1,45.896
603127.XSHG,603127,昭衍新药,XSHG,2018-08-20,44.53,44.53,43.37,44.5,42.2,44.15,1094121,47426677,2891,0.0381,0.5066410899,1267105000,5077011590,-0.0085,55.1043,144.7116,9.366,1,43.347
603127.XSHG,603127,昭衍新药,XSHG,2018-08-21,44.15,44.15,43.73,46.39,43.73,46.08,1160769,52868307,3228,0.0404,0.5066410899,1322496000,5298951168,0.0437,57.5131,151.0377,9.7755,1,45.546
603127.XSHG,603127,昭衍新药,XSHG,2018-08-22,46.08,46.08,45.74,46.85,45.1,45.6,846059,38993493,2602,0.0295,0.5066410899,1308720000,5243753760,-0.0104,56.914,149.4643,9.6736,1,46.088
603127.XSHG,603127,昭衍新药,XSHG,2018-08-23,45.6,45.6,45.9,47.76,45.73,46.9,995840,46572448,2879,0.0347,0.5066410899,1346030000,5393246740,0.0285,58.5366,153.7254,9.9494,1,46.767
603127.XSHG,603127,昭衍新药,XSHG,2018-08-24,46.9,46.9,46.88,47.49,46.12,46.97,717520,33631832,2228,0.025,0.5066410899,1348039000,5401296362,0.0015,58.6239,153.9548,9.9643,1,46.872
603127.XSHG,603127,昭衍新药,XSHG,2018-08-27,46.97,46.97,46.56,50.28,46.56,49.6,1592020,77883736,3274,0.037,0.5066410899,2136098400,5703737120,0.056,61.9065,162.5754,10.5222,1,48.921
603127.XSHG,603127,昭衍新药,XSHG,2018-08-28,49.6,49.6,50.0,51.76,49.3,49.93,1226120,62007424,3086,0.0285,0.5066410899,2150310345,5741685371,0.0067,66.2232,127.9359,10.2626,1,50.572
603127.XSHG,603127,昭衍新药,XSHG,2018-08-29,49.93,49.93,51.3,51.3,49.2,49.7,867820,43369518,2176,0.0202,0.5066410899,2140405050,5715236590,-0.0046,65.9181,127.3465,10.2154,1,49.975
603127.XSHG,603127,昭衍新药,XSHG,2018-08-30,49.7,49.7,49.9,50.83,47.96,49.69,1297576,63702805,3821,0.0301,0.5066410899,2139974385,5714086643,-0.0002,65.9049,127.3209,10.2133,1,49.094
603127.XSHG,603127,昭衍新药,XSHG,2018-08-31,49.69,49.69,49.05,49.17,47.8,47.9,917047,44378664,3005,0.0213,0.5066410899,2062885350,5508246130,-0.036,63.5308,122.7344,9.8454,1,48.393
603127.XSHG,603127,昭衍新药,XSHG,2018-09-03,47.9,47.9,47.48,49.8,47.48,49.65,1015156,49796764,2629,0.0236,0.5066410899,2138251725,5709486855,0.0365,65.8518,127.2184,10.2051,1,49.053
603127.XSHG,603127,昭衍新药,XSHG,2018-09-04,49.65,49.65,49.57,50.31,48.85,50.05,844520,41881473,2374,0.0196,0.5066410899,2155478325,5755484735,0.0081,66.3823,128.2433,10.2873,1,49.592
603127.XSHG,603127,昭衍新药,XSHG,2018-09-05,50.05,50.05,49.58,50.66,49.58,49.6,815880,40934912,2069,0.0189,0.5066410899,2136098400,5703737120,-0.009,65.7855,127.0903,10.1948,1,50.173
603127.XSHG,603127,昭衍新药,XSHG,2018-09-06,49.6,49.6,49.5,50.25,49.1,49.33,469780,23330733,1431,0.0109,0.5066410899,2124470445,5672688551,-0.0054,65.4274,126.3985,10.1393,1,49.663
603127.XSHG,603127,昭衍新药,XSHG,2018-09-07,49.33,49.33,49.32,51.78,49.32,51.78,1320106,67323542,3084,0.0307,0.5066410899,2229983370,5954425566,0.0497,68.6769,132.6761,10.6429,1,50.999
603127.XSHG,603127,昭衍新药,XSHG,2018-09-10,51.78,51.78,51.9,51.96,50.33,50.67,898383,46084631,2349,0.0209,0.5066410899,2182179555,5826781449,-0.0214,67.2047,129.832,10.4147,1,51.297
603127.XSHG,603127,昭衍新药,XSHG,2018-09-11,50.67,50.67,50.49,51.68,50.31,51.55,593280,30269989,1721,0.0138,0.5066410899,2220078075,5927976785,0.0174,68.3718,132.0868,10.5956,1,51.021
603127.XSHG,603127,昭衍新药,XSHG,2018-09-12,51.55,51.55,51.5,51.75,49.29,49.46,653780,32858169,1683,0.0152,0.5066410899,2130069090,5687637862,-0.0405,65.5998,126.7316,10.166,1,50.259
603127.XSHG,603127,昭衍新药,XSHG,2018-09-13,49.46,49.46,50.5,50.79,46.9,48.68,977168,47422696,2225,0.0227,0.5066410899,2096477220,5597941996,-0.0158,64.5653,124.733,10.0057,1,48.531
603127.XSHG,603127,昭衍新药,XSHG,2018-09-14,48.68,48.68,48.4,49.28,47.95,48.4,428640,20825532,1372,0.01,0.5066410899,2084418600,5565743480,-0.0058,64.1939,124.0155,9.9482,1,48.585
603127.XSHG,603127,昭衍新药,XSHG,2018-09-17,48.4,48.4,48.01,48.59,47.21,47.62,407240,19473967,1218,0.0095,0.5066410899,2050826730,5476047614,-0.0161,63.1594,122.0169,9.7878,1,47.819
603127.XSHG,603127,昭衍新药,XSHG,2018-09-18,47.62,47.62,46.18,46.72,45.61,46.55,909052,42015019,2470,0.0211,0.5066410899,2004745575,5353003285,-0.0225,61.7402,119.2753,9.5679,1,46.218
603127.XSHG,603127,昭衍新药,XSHG,2018-09-19,46.55,46.55,46.25,48.74,46.0,47.63,892154,42152275,2618,0.0207,0.5066410899,2051257395,5477197561,0.0232,63.1726,122.0426,9.7899,1,47.248
603127.XSHG,603127,昭衍新药,XSHG,2018-09-20,47.63,47.63,48.0,48.2,46.7,46.81,491020,23280272,1287,0.0114,0.5066410899,2015942865,5382901907,-0.0172,62.0851,119.9415,9.6214,1,47.412
603127.XSHG,603127,昭衍新药,XSHG,2018-09-21,46.81,46.81,46.85,48.3,45.91,48.17,991034,46677771,3058,0.023,0.5066410899,2074513305,5539294699,0.0291,63.8889,123.4262,9.9009,1,47.1
603127.XSHG,603127,昭衍新药,XSHG,2018-09-25,48.17,48.17,47.83,48.53,47.16,48.19,408340,19616058,1415,0.0095,0.5066410899,2075374635,5541594593,0.0004,63.9154,123.4775,9.905,1,48.039
603127.XSHG,603127,昭衍新药,XSHG,2018-09-26,48.19,48.19,47.7,50.2,47.7,49.01,1017675,49859094,3157,0.0236,0.5066410899,2110689165,5635890247,0.017,65.003,125.5785,10.0735,1,48.993
603127.XSHG,603127,昭衍新药,XSHG,2018-09-27,49.01,49.01,49.6,50.49,48.52,48.55,834700,41329884,2318,0.0194,0.5066410899,2090878575,5582992685,-0.0094,64.3929,124.3999,9.979,1,49.515
603127.XSHG,603127,昭衍新药,XSHG,2018-09-28,48.55,48.55,48.99,49.86,47.85,49.86,693106,34018250,2679,0.0161,0.5066410899,2147295690,5733635742,0.027,66.1303,127.7565,10.2483,1,49.081
603127.XSHG,603127,昭衍新药,XSHG,2018-10-08,49.86,49.86,48.7,50.47,48.13,48.3,740149,36627431,1623,0.0172,0.5066410899,2080111950,5554244010,-0.0313,64.0613,123.7593,9.9276,1,49.487
603127.XSHG,603127,昭衍新药,XSHG,2018-10-09,48.3,48.3,48.47,50.0,48.47,49.38,782183,38670031,1444,0.0182,0.5066410899,2126623770,5678438286,0.0224,65.4937,126.5266,10.1496,1,49.439
603127.XSHG,603127,昭衍新药,XSHG,2018-10-10,49.38,49.38,49.53,49.8,46.8,47.05,698788,33328628,1916,0.0162,0.5066410899,2026278825,5410500635,-0.0472,62.4034,120.5564,9.6707,1,47.695
603127.XSHG,603127,昭衍新药,XSHG,2018-10-11,47.05,47.05,45.0,45.55,42.51,43.25,1177108,51592788,2277,0.0273,0.5066410899,1862626125,4973520775,-0.0808,57.3634,110.8197,8.8896,1,43.83
603127.XSHG,603127,昭衍新药,XSHG,2018-10-12,43.25,43.25,42.99,44.52,42.79,43.99,449322,19699839,1564,0.0104,0.5066410899,1894495335,5058616853,0.0171,58.3448,112.7158,9.0417,1,43.843
603127.XSHG,603127,昭衍新药,XSHG,2018-10-15,43.99,43.99,44.49,45.48,43.78,44.2,461920,20698184,1310,0.0107,0.5066410899,1903539300,5082765740,0.0048,58.6234,113.2539,9.0849,1,44.809
603127.XSHG,603127,昭衍新药,XSHG,2018-10-16,44.2,44.2,44.4,44.85,41.0,41.82,913180,38528974,2503,0.0212,0.5066410899,1801041030,4809078354,-0.0538,55.4667,107.1556,8.5957,1,42.192
603127.XSHG,603127,昭衍新药,XSHG,2018-10-17,41.82,41.82,42.2,43.0,41.18,42.73,638700,26916725,1546,0.0148,0.5066410899,1840231545,4913723531,0.0218,56.6737,109.4873,8.7828,1,42.143
